Contribution-ID,Permalink,Posted message,Type,Posted,share,like,comment,Readers of content during runtime,Reaction during runtime
191341015013_10157892720130014,https://www.facebook.com/berlinertafel.ev/posts/10157892720130014:0,"UNSERE SCHOKI FÄHRT U-BAHN  Aufgepasst beim U-Bahn fahren! Unsere Berliner Tafeln werden derzeit im Berliner Fenster beworben. Heute und morgen mal beim U-Bahn fahren drauf achten!  Noch bis zum 31.12.2016 - oder eben solange der Vorrat reicht - könnt ihr die beliebte Berliner Tafel in den Sorten Zartbitter und Vollmilch in folgenden Supermärkten für je 2 € erwerben:  basic AG, BIO COMPANY, denn’s Biomärkte, LPG und der Speisekammer im Eldorado",Photo,2016-12-02 02:13:45,1.0,19.0,3.0,50,74
191341015013_10157888814805014,https://www.facebook.com/berlinertafel.ev/posts/10157888814805014:0,ERFRIERUNGSTOD VERHINDERN  Der Kältebus der Berliner Stadtmission startete vor über 20 Jahren. Aktueller Anlass war 1994 der Erfrierungstod eines Obdachlosen in Berlin.  Der Kältebus ist seit dem 01.November wieder unterwegs auf der Suche nach hilflosen Obdachlosen.   Die Telefonnummer ist: (0178) 523 58-38  Vielen Dank für eurer Engagement!  Foto: Sebastian Daehne,Photo,2016-12-01 12:00:00,59.0,120.0,6.0,181,266
191341015013_10157888632270014,https://www.facebook.com/berlinertafel.ev/posts/10157888632270014:0,"GEMÜSE DES MONATS DEZEMBER  Der Rosenkohl wird auch als Brüsseler Kohl bezeichnet, was auf seinen Ursprung hindeutet. Die ersten Belege für den Anbau stammen nämlich aus dem Jahr 1587 im heutigen Belgien. Besonders gut munden die Röschen aber erst, nachdem sie den ersten Frost abbekommen haben, da sie dann weniger herb und dafür feiner schmecken. Der Kohl zählt zu den ballaststoffreichsten Gemüsesorten und enthält darüber hinaus noch viel Eiweiß und Vitamin C.",Photo,2016-12-01 06:02:15,4.0,17.0,1.0,37,60
191341015013_10157888051265014,https://www.facebook.com/berlinertafel.ev/posts/10157888051265014:0,"ADVENT, ADVENT...MACHE ANDEREN EIN GESCHENK  Morgen startet wieder die Aktion „Eins mehr!“.  Vom 2. Dezember bis zum 17. Dezember 2016 sammeln Ehrenamtliche in 31 Berliner Supermärkten Lebensmittel für Bedürftige.  Die Berliner*Innen können wieder einen zusätzlichen Schokoladen-Weihnachtsmann, eine extra Packung Kaffee oder eine Konserve mehr kaufen und den ehrenamtlichen LAIB und SEELE-Helfer*Innen im Supermarkt übergeben.   Wer macht mit? http://bit.ly/1ORiQQI",Photo,2016-12-01 00:53:04,7.0,29.0,1.0,49,72
191341015013_10157884009365014,https://www.facebook.com/berlinertafel.ev/posts/10157884009365014:0,"ZAHNCREME, TEE und BIO-ÖLE  REWE spendete heute haltbare Lebensmittel und Drogerieartikel an die Berliner Tafel und KIMBA. Unsere ehrenamtliche Vorsitzende Sabine Werth nahm die Waren vor dem KIMBAexpress auf dem Gelände des Berliner Großmarktes freudig entgegen.   Die Artikel werden nun an die LAIB und SEELE Ausgabestellen und sozialen Einrichtungen verteilt und für die Kinderkochkurse benötigt.   Vielen herzlichen Dank für diese Spende!",Photo,2016-11-30 05:11:25,4.0,35.0,0.0,98,163
191341015013_10157878786205014,https://www.facebook.com/berlinertafel.ev/posts/10157878786205014:0,"MIT JEDEM LÖFFEL GUTES TUN  Es ist wieder so weit: auch dieses Jahr nehmen wieder viele Restaurants und Kantinen in Berlin an unserer Aktion SUPPE MIT SINN teil. Für jede gegessene Suppe geht eine Spende an die Berliner Tafel. Welches der 42 teilnehmenden Restaurants sich in eurer Nähe befindet, könnt ihr hier sehen: http://bit.ly/2fxCyLk  Guten Appetit!",Photo,2016-11-29 23:39:09,4.0,31.0,0.0,51,64
191341015013_10157874418015014,https://www.facebook.com/berlinertafel.ev/posts/10157874418015014,ES WERDE LICHT...  Seit gestern erstrahlt der rund 16 Meter hohe Weihnachtsbaum am Brandenburger Tor mit 30.000 Lichtern. Unsere stellvertrende Vorsitzende Heidelore Müller durfte das Licht mit einschalten und erhielt eine Spende in Höhe von 5000 Euro für die Berliner Tafel.  Herzlichen Dank an die Firma lekker und die Berliner Helden für diese großartige Aktion! Copyright des zweiten Bildes © Regina Sablotny,Photo,2016-11-28 05:31:31,3.0,26.0,0.0,29,39
191341015013_10157856896145014,https://www.facebook.com/berlinertafel.ev/posts/10157856896145014:0,"ENDSPURT BEI DER WEIHNACHTSSAMMLUNG  Noch gut eine Woche - bis zum 02.12. - könnt ihr eine Spende für bedüftige Berlinerinnen und Berliner bei dem Lagerraumanbieter MyPlace abgeben.  Bei den Berliner Ausgabestellen von LAIB und SEELE waren im vergangenen Jahr ein Drittel der Kundinnen und Kunden Kinder und Jugendliche. Vielleicht hast Du ja noch gut erhaltene Spielsachen übrig, mit denen Dein Kind nicht mehr spielt?  Mehr Informationen zu den benötigten Spenden und den MyPlace-Standorten erfährst Du hier: http://bit.ly/2ekiX0y",Photo,2016-11-24 03:51:28,4.0,14.0,0.0,38,63
191341015013_10157848875235014,https://www.facebook.com/berlinertafel.ev/posts/10157848875235014:0,"MORGEN KINDER WIRD`S WAS GEBEN  So, nun nur noch einmal schlafen... dann geht er los, der 43. Spandauer Weihnachtsmarkt. Auch wir sind mit einem Stand vertreten, informieren über unsere Arbeit und KIMBA backt an 4 Terminen live auf der Bühne. Seid dabei und stimmt euch auf eine friedvolle Weihnachtszeit ein. Mehr Informationen erhaltet ihr hier: http://bit.ly/2gAjX18",Photo,2016-11-22 06:17:29,5.0,41.0,1.0,60,90
191341015013_10157848642315014,https://www.facebook.com/berlinertafel.ev/posts/10157848642315014,"MITZVAH DAY  „Mitzvah“ ist hebräisch und bedeutet umgangssprachlich „gute Tat“.  Ein riesiges Dankeschön an die Student*Innen des Touro College Berlin, die eine Lebensmittelsammlung zugunsten der Berliner Tafel im Rahmen ihrer Mitzvah Day Aktivitäten organisiert haben. Durch ihre Großzügigkeit haben wir über 75 Kilo Lebensmittel von wunderbarer Qualität bekommen, die wir nun an bedürftige Berliner*Innen ausliefern können.  Toda raba!  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -   Touro College for the Tafel!  A huge thanks to the students from Touro College in Berlin who organized a food drive as one of their Mitzvah Day activities benefiting the Berliner Tafel. Through their generosity, we received over 75 kilos of quality food that we could distribute immediately to those in need throughout Berlin.  Toda raba!",Photo,2016-11-22 04:38:21,6.0,37.0,4.0,128,196
191341015013_10157844522825014,https://www.facebook.com/berlinertafel.ev/posts/10157844522825014,COUNTDOWN LÄUFT... NUR NOCH 2 TAGE  Übermorgen ist es endlich wieder soweit: der Spandauer Weihnachtsmarkt öffnet seine Pforten! Auch wir sind in diesem Jahr wieder mit einem Stand vertreten... Schaut doch mal vorbei!,Link,2016-11-21 05:52:16,2.0,21.0,0.0,27,38
191341015013_10157825131870014,https://www.facebook.com/berlinertafel.ev/posts/10157825131870014:0,"ICK BIN EENE BERLINER TAFEL  Heute Früh in der Bio Company in der Bergmannstraße entdeckt: Da stehen sie nun, unsere Berliner Tafeln.  Viel Spaß beim Genießen der Schoki, beim Befüllen des Adventskalenders oder beim Verschenken :)",Photo,2016-11-17 05:04:06,1.0,33.0,0.0,50,72
191341015013_10157820209280014,https://www.facebook.com/berlinertafel.ev/posts/10157820209280014,"MEHR ALS NUR KAFFEE  Heute kam bei uns auf dem Großmarkt der zweite Teil der Tchibo Weihnachtsgroßspende an. Tchibo hat sich dazu entschlossen, 100.000 Pakete an die Tafeln in gesamt Deutschland zu spenden. Dazu kommt, dass pro 10 € Einkauf bei Tchibo 20 Cent für weitere Pakete hinzu kommen. Vielen Dank für diese Unterstützung!",Photo,2016-11-16 05:53:12,5.0,91.0,4.0,112,177
191341015013_10157820142510014,https://www.facebook.com/berlinertafel.ev/posts/10157820142510014,"MEHRWEG ZUM AUSLEIHEN  Kennt ihr schon das Tiffin-Projekt?  Tiffin bedeutet so viel wie ein Behälter, in dem das Mittagessen mit an den Arbeitsplatz genommen wird.  Statt wieder unendlich viel Müll durch Einwegverpackungen zu produzieren, hier mal ein interessantes Projekt: http://dastiffinprojekt.org/ Wäre ja wünschenswert, dass da möglichst viele Restaurants mitmachen!",Link,2016-11-16 02:29:57,,8.0,0.0,18,20
191341015013_10157812147805014,https://www.facebook.com/berlinertafel.ev/posts/10157812147805014,"Danke an Mia, Praktikantin bei der Deutschen Umweltstiftung, für ihre Spende und die tolle Kampagne, die sie derzeit durchführt.",Photo,2016-11-15 04:35:15,,9.0,0.0,14,17
191341015013_10157811698605014,https://www.facebook.com/berlinertafel.ev/posts/10157811698605014:0,"TAFELN FÜR DIE BERLINER TAFEL  Ab heute, 15.11.2016, ist es endlich wieder soweit: unsere beliebte Berliner Tafel kommt in die Berliner Biomärkte.  Die Schokolade in den Sorten Vollmilch und Zartbitter ist in allen Berliner Filialen der basic AG, BIO COMPANY, denn’s Biomärkte, LPG und der Speisekammer im Eldorado für je 2 Euro erhältlich. Die Aktion dauert bis zum 31.12.2016 oder solange der Vorrat reicht.  Mehr Informationen erhaltet ihr hier: http://bit.ly/2fUJlMl",Photo,2016-11-15 00:47:03,17.0,61.0,1.0,106,170
191341015013_10157807688555014,https://www.facebook.com/berlinertafel.ev/posts/10157807688555014,Finden wir gut! Nachahmenswert!,Photo,2016-11-14 05:39:07,,5.0,0.0,73,106
191341015013_10157782608545014,https://www.facebook.com/berlinertafel.ev/posts/10157782608545014,"LIONS CLUBS INTERNATIONAL ZU BESUCH   Gestern konnten wir mit großer Freude den internationalen Lions Club Presidenten Bob Corlew, seine Frau und eine Deligation an Lions Club Mitgliedern bei uns begrüßen. Wir konnten ihnen einen Einblick in unsere Arbeit auf dem Großmarkt geben, nicht zuletzt dank der tatkräftigen Hilfe weiterer Lions und Leos beim Sortieren der Lebensmittel. Ein besonderer Dank also an die Lions Clubs und Leos für ihre jahrelange Unterstützung! ------------------------------------------------------------------------------ LIONS CLUBS INTERNATIONAL LANDS AT THE BERLINER TAFEL   It was a true pleasure today to welcome the Lions Clubs International President, Bob Corlew, and his lovely wife, Dianne, all the way from the great U.S. state of Tennessee! (Nicknamed the ""Volunteer State"", in fact!) While on a whirlwind tour of Europe, before heading off to Asia in the morning, they were able to stop by with a delegation of other Lions Clubs members so that we could introduce our work and give them a glimpse at our sorting hall here at Beusselstraße. At the end of the presentation, Sabine Werth, our Founder and Chairwoman, accompanied everyone downstairs where the Corlews donned the requisite rubber gloves and jumped right into to assist the diligent Lions and Leos that were already busy at work helping to sort fruits and vegetables. A heartfelt thank you to the Lions Clubs and Leos who have supported us throughout the years and Bon Voyage to Mr. and Mrs. Corlew!",Photo,2016-11-09 01:58:48,1.0,13.0,0.0,20,24
191341015013_10157773064320014,https://www.facebook.com/berlinertafel.ev/posts/10157773064320014:0,"WEIHNACHTSFREUDE WEITERGEBEN  Vom 7. November bis zum 2. Dezember 2016 sammeln der Lagerraumanbieter MyPlace und die Berliner Tafel e.V. wieder Geschenke für Bedürftige.  An 8 MyPlace-Standorten können sehr gut erhaltene Spielsachen (keine Kuscheltiere), originalverpackte, haltbare Lebensmittel, originalverpackte Drogerieartikel und Schulartikel (Hefte, Stifte, Federmäppchen) gespendet werden.  Mehr zu den Standorten und Abgabezeiten erfahrt ihr hier: http://bit.ly/1ORiQQI",Photo,2016-11-07 05:23:35,3.0,9.0,0.0,30,40
191341015013_10157758004165014,https://www.facebook.com/berlinertafel.ev/posts/10157758004165014,"ERNÄHRUNGSRAT BERLIN - VOLLVERSAMMLUNG  ANMELDUNG zur Vollversammlung NUR NOCH HEUTE!!! kontakt@ernaehrungsratschlag.de  WANN: Montag, 07.November 2016, 17 - 20 Uhr WO: Jugengästehaus am Hauptbahnhof (Raum Wien, UG), Seydlitzstr. 20, 10557 Berlin  Eingeladen sind alle, die den zukunftsfähigen Wandel des Ernährungssystems in der Region aktiv vorantreiben und mitgestalten wollen.  Mehr Informationen erhaltet ihr hier: http://www.ernaehrungsratschlag.de/",Link,2016-11-04 04:05:54,1.0,3.0,0.0,3,4
191341015013_10157752958285014,https://www.facebook.com/berlinertafel.ev/posts/10157752958285014,GEFÜRCHTETES MUNDWERK  Kabarettist und Moderator Florian Schroeder kämpfte gemeinsam mit Dirk Steffens im Quiz-Duell. 7.000 € vom Gewinn gehen nun an die Berliner Tafel e.V.    <3-lichen Dank für euren Einsatz!  #Quizduell #FlorianSchroeder #Spende,Link,2016-11-03 02:02:43,3.0,12.0,0.0,17,25
191341015013_10157747910070014,https://www.facebook.com/berlinertafel.ev/posts/10157747910070014:0,"KIMBA KOCHFÄCHER  Anlässlich der Fertigstellung unserer Kinder Kochfächer ist es Zeit, Danke zu sagen. Nur durch Hilfe war es möglich, den KIMBA Kochfächer, bestehend aus 11 KIMBA Rezepten und einigen wissenswerten und interessanten Fakten der BSR, auf den Weg zu bringen. Unser großer Dank gilt der Beuth Hochschule für Technik Berlin und der BSR, die die Entstehung des vorliegenden Kochfächers überhaupt erst möglich machten. Zudem danken wir Kitty Kahane, der Blitzen GmbH und der Firma Laserline, sowie dem Berliner Großmarkt, der Firma Keuthmann und der LPG in der Kollwitzstraße für ihre kontinuierliche Unterstützung des KIMBA-Betriebes. Ohne euch würde es den KIMBA Fächer nicht geben und so präsentieren wir euch stolz das Rezept des Novembers: Gefüllte Paprika mit Gemüsereis. Viel Spaß beim Nachkochen! http://bit.ly/1Z2nWj0",Photo,2016-11-02 01:43:37,1.0,10.0,0.0,32,53
191341015013_10157742710520014,https://www.facebook.com/berlinertafel.ev/posts/10157742710520014:0,"GEMÜSE DES MONATS NOVEMBER  Der Wirsing wird in Deuschland seit dem 18. Jahrhundert angebaut, war aber bereits vorher im Mittelmeerraum beliebt. Seine Blätter sind zarter als die vieler anderer Kohlsorten, was ihn vieseitig einsetzbar macht. Neben dieser Wandlungsfähigkeit ist Wirsing auch noch sehr gesund, enthält er doch Eiweiße, Fette, Phosphor, Eisen, B-Vitamine und viel Vitamin C. Neben den klassischen Kohlrouladen gibt es also noch sehr viele Möglichkeiten, um sich mit diesem Gemüse etwas Gutes zu tun.",Photo,2016-11-01 02:53:29,1.0,6.0,0.0,22,27
191341015013_10157737527435014,https://www.facebook.com/berlinertafel.ev/posts/10157737527435014:0,"AUF EUCH!  Vielen Dank an die ehrenamtlichen Mitarbeiter*Innen der  Ev. Paulus-Kirchengemeinde im Wolffring in Tempelhof für ihr fortdauerndes, großartiges Engagement.  Wir hoffen, unsere Tafel-Brause hat euch erfrischt!  #BerlinerTafelBrause #PflaumeKardamom #Ehrenamt #LAIBundSEELE #DANKE",Photo,2016-10-31 06:27:56,2.0,8.0,0.0,41,88
191341015013_10157686095985014,https://www.facebook.com/berlinertafel.ev/posts/10157686095985014:0,"ADVENT, ADVENT, FREUDE DIE MAN VERSCHENKT  Mit schnellen Schritten geht es auf die vorweihnachtliche Zeit zu und damit rückt auch das erste Türchen im Adventskalender näher. IKEA hat daher dieses Jahr Kalender in seinem Sortiment, von denen je ein Euro an KIMBA geht. Wer sich also selbst oder Freunden jeden Tag eine kleine Freude bereiten will und KIMBA unterstützen möchte, kann ja in der Spandauer IKEA Filiale vorbeischauen. Vielen Dank für eure Unterstützung!",Photo,2016-10-21 07:00:01,3.0,12.0,0.0,41,82
191341015013_10157685755085014,https://www.facebook.com/berlinertafel.ev/posts/10157685755085014:0,"ERKÄLTUNG ADE  Es ist wieder soweit: die Zeit der laufenden Nasen hat begonnen. Für alle die jetzt noch etwas vorbeugen möchten oder die schon Gegenmaßnahmen einleiten, hier ein paar Tipps: Der Klassiker: Ingwer-Tee. Frische Ingwerwurzeln mit kochendem Wasser übergießen und mit Honig süßen. Der Alltägliche: Teesorten wie Holunder- oder Lindenblütentee und Kräutertees wie beispielsweise Thymian- oder Salbeitee Der Entspannende: ein heißes Bad. Stress sollte generell reduziert werden, um das Immunsystem nicht zu schwächen - ein heißes Bad mit ätherischen Ölen kann da Abends Wunder tun!",Photo,2016-10-21 02:47:56,2.0,9.0,0.0,30,37
191341015013_10157669795285014,https://www.facebook.com/berlinertafel.ev/posts/10157669795285014:0,"AN DIE ÄPFEL, FERTIG, LOS....  Mosten statt vergammeln – in einer großen Höreraktion hat der Berliner Rundfunk 91,4 zum Apfelpflücken aufgerufen. Herausgekommen sind 2000 Flaschen mit frischem Saft, 1000 für die Berliner Stadtmission und 1000 für die Berliner Tafel.  Herzlichen Dank!",Photo,2016-10-18 03:24:20,2.0,30.0,0.0,29,45
191341015013_10157646128585014,https://www.facebook.com/berlinertafel.ev/posts/10157646128585014:0,LASST SIE EUCH SCHMECKEN  Als kleines Dankeschön für das beständige Engagement gab es von uns einen Kasten Tafel-Brause in der Geschmacksrichtung Pflaume Kardamom für die ehrenamtlichen Helferinnen und Helfer der LAIB und SEELE Ausgabestelle im Kirchl. Begegnungszentrum Karow in der Achillesstraße.,Photo,2016-10-14 06:15:31,1.0,13.0,0.0,26,55
191341015013_10157639979750014,https://www.facebook.com/berlinertafel.ev/posts/10157639979750014:0,"SOZIALE WESEN  Gestern hatten wir Frauenpower im Haus: 4 Azubis und ihre Lehrerin von der ""BERUFLICHEN SCHULE FÜR SOZIALWESEN"" aus Pankow halfen uns bei der Sortierung von Obst und Gemüse. Die 4 jungen Frauen sind Auszubildende der Familienpflege.   Ein herzliches Dankeschön an euch!",Photo,2016-10-13 05:41:16,1.0,6.0,1.0,41,65
191341015013_10157638917205014,https://www.facebook.com/berlinertafel.ev/posts/10157638917205014:0,GEBEN UND NEHMEN  Im tristen Herbstalltag kommt uns dieser fröhlich bunte Elefant gerade recht. Er wurde uns vom KINDERHEIM ELISABETHSTIFT aus Platzgründen gespendet und wir werden ihn nun in liebe Hände weiterreichen! Danke <3,Photo,2016-10-13 00:40:11,1.0,2.0,0.0,24,39
191341015013_10157634644150014,https://www.facebook.com/berlinertafel.ev/posts/10157634644150014,Du weißt nicht wohin mit der Apfelernte aus Deinem Garten? Dann mach doch hier mit:,Photo,2016-10-12 05:22:05,,2.0,0.0,11,14
191341015013_10157634472620014,https://www.facebook.com/berlinertafel.ev/posts/10157634472620014:0,"VOLLE KRAFT  Tatkräftig mit angepackt haben gestern einige Mitarbeiter*Innen des Unternehmens SALESFORCE in unserer Sortierhalle, wo täglich das gespendete Obst und Gemüse sortiert und wieder in die Verteilung gebracht wird. Ein großes Dankeschön an euch für eure Unterstützung!",Photo,2016-10-12 04:16:22,,1.0,0.0,31,63
191341015013_10157609317440014,https://www.facebook.com/berlinertafel.ev/posts/10157609317440014:0,TAG DES LÄCHELNS  Wir können es von Geburt an und sollten es jeden Tag am besten ein paar Mal tun: Lächeln! Also lächelt heute einfach mal öfter!,Photo,2016-10-07 01:44:50,,,0.0,26,35
191341015013_10157600574740014,https://www.facebook.com/berlinertafel.ev/posts/10157600574740014:0,"WEINTRAUBEN DER EXTRAKLASSE  Wir hatten schon einiges ungewöhnliches Obst und Gemüse, aber diese Weintrauben sind eindeutig besonders: Groß, schwer und sehr lecker!",Photo,2016-10-06 01:33:59,,,0.0,32,40
191341015013_10157600558035014,https://www.facebook.com/berlinertafel.ev/posts/10157600558035014:0,"VON WEGEN FLUGUNFÄHIG  Was für eine starke Vereinigung: gespendetes Papier von der PAPIERUNION, Druck pro bono von PINGUINDRUCK... so konnten unsere neuen Berliner Tafel-Flugzettel (""Flyer"") entstehen.  40.000 Stück - sind sie nicht schön geworden?!  <3 Ein herzliches Dankeschön! <3",Photo,2016-10-05 05:07:42,1.0,7.0,0.0,42,77
191341015013_10157595493185014,https://www.facebook.com/berlinertafel.ev/posts/10157595493185014:0,"WELTTIERSCHUTZTAG  Heute, am 04. Oktober, ist internationaler Welttierschutztag. Dieser Aktionstag soll auf das Leid der Tiere aufmerksam machen, welches durch den Menschen verursacht wird. Nicht nur Nutz- sondern auch Haustiere werden oft unter miserablen Bedingungen gehalten. Nutzt diesen Tag, um euch - in eurem Handlungsrahmen -  stark zu machen für die Rechte der Tiere!  #Welttierschutztag #Tiereschützen #artgerechteHaltung",Photo,2016-10-04 05:00:01,2.0,4.0,0.0,25,31
191341015013_10157595534980014,https://www.facebook.com/berlinertafel.ev/posts/10157595534980014,Berliner Tafel e.V.s Titelbild,Photo,2016-10-04 03:01:55,,3.0,0.0,13,27
191341015013_10157595405295014,https://www.facebook.com/berlinertafel.ev/posts/10157595405295014:0,"GEMÜSE DES MONATS OKTOBER  Die rote Rübe stammte ursprünglich aus dem Mittelmeerraum und kam mit den Römern nach Mitteleuropa. Heute ist sie als Wintergemüse auch aus der deutschen Küche nicht mehr weg zu denken. Nicht zuletzt da sie gut für die Leber, die Verdauung und die Galle ist. Die große Menge Folsäure tut ihr übriges und so schreibt man der roten Bete auch eine gemäßigte Wirkung als Stimmungsaufheller zu.",Photo,2016-10-04 01:54:56,,5.0,0.0,20,25
191341015013_10157576557530014,https://www.facebook.com/berlinertafel.ev/posts/10157576557530014:0,"UND AB GEHT DIE POST...  ...beim Sortieren von Obst und Gemüse! Ein großes Dankeschön an die fleißigen sechs Mitarbeiter*Innen der Deutschen Post AG.  Es war uns eine Freude, euch bei uns begrüßen zu dürfen! Schickt gerne wieder mal jemanden vorbei!   #DeutschePostAG #CV",Photo,2016-09-30 05:07:13,1.0,16.0,0.0,32,53
191341015013_10157567971605014,https://www.facebook.com/berlinertafel.ev/posts/10157567971605014:0,"Belarus in Berlin!  Es war uns eine Freude die Jugendgruppe der Chance International Organisation aus Minsk begrüßen zu können, um ihnen im Laufe ihrers ""Think creative - go non-formal!"" Austausches in Berlin, einen EInblick in die Arbeit der Tafel bieten zu können. Es war schön euch kennengelernt zu haben und wir wünschen euch allen das Beste!  Vielen Dank für den Besuch! Dziakuju vam! __________________________________________________________  It was a pleasure to welcome the Chance International Organization and their vibrant youth group from Minsk last week to present our organization in the context of their ""Think creative - go non-formal!"" exchange week in Berlin. It was lovely meeting everyone and we wish you all the best!  Many Thanks for the visit! Dziakuju vam!",Photo,2016-09-28 06:02:41,2.0,12.0,1.0,68,150
